well,f_signal,timepoint,well_row,well_col,experiment,cell_number,plate,well_id
B01,20133,24,B,01,exp190923,20000,3,exp190923_3_B01
B02,19188,24,B,02,exp190923,20000,3,exp190923_3_B02
B03,17854,24,B,03,exp190923,20000,3,exp190923_3_B03
B04,17503,24,B,04,exp190923,20000,3,exp190923_3_B04
B05,18310,24,B,05,exp190923,20000,3,exp190923_3_B05
B06,17381,24,B,06,exp190923,20000,3,exp190923_3_B06
B07,18750,24,B,07,exp190923,20000,3,exp190923_3_B07
B08,17780,24,B,08,exp190923,20000,3,exp190923_3_B08
B09,17809,24,B,09,exp190923,20000,3,exp190923_3_B09
B10,16847,24,B,10,exp190923,20000,3,exp190923_3_B10
B11,18305,24,B,11,exp190923,20000,3,exp190923_3_B11
B12,18947,24,B,12,exp190923,20000,3,exp190923_3_B12
C01,18371,24,C,01,exp190923,20000,3,exp190923_3_C01
C02,18858,24,C,02,exp190923,20000,3,exp190923_3_C02
C03,17768,24,C,03,exp190923,20000,3,exp190923_3_C03
C04,17434,24,C,04,exp190923,20000,3,exp190923_3_C04
C05,18045,24,C,05,exp190923,20000,3,exp190923_3_C05
C06,17986,24,C,06,exp190923,20000,3,exp190923_3_C06
C07,18883,24,C,07,exp190923,20000,3,exp190923_3_C07
C08,17358,24,C,08,exp190923,20000,3,exp190923_3_C08
C09,17585,24,C,09,exp190923,20000,3,exp190923_3_C09
C10,17673,24,C,10,exp190923,20000,3,exp190923_3_C10
C11,17560,24,C,11,exp190923,20000,3,exp190923_3_C11
C12,18240,24,C,12,exp190923,20000,3,exp190923_3_C12
D01,19483,24,D,01,exp190923,20000,3,exp190923_3_D01
D02,17773,24,D,02,exp190923,20000,3,exp190923_3_D02
D03,17327,24,D,03,exp190923,20000,3,exp190923_3_D03
D04,17373,24,D,04,exp190923,20000,3,exp190923_3_D04
D05,17258,24,D,05,exp190923,20000,3,exp190923_3_D05
D06,17979,24,D,06,exp190923,20000,3,exp190923_3_D06
D07,18233,24,D,07,exp190923,20000,3,exp190923_3_D07
D08,18809,24,D,08,exp190923,20000,3,exp190923_3_D08
D09,17693,24,D,09,exp190923,20000,3,exp190923_3_D09
D10,16551,24,D,10,exp190923,20000,3,exp190923_3_D10
D11,18297,24,D,11,exp190923,20000,3,exp190923_3_D11
