well,sample,wave_length,f_signal_endpoint,experiment,plate
D04,Sample X40,WL535,25693,exp190905,2
D05,Sample X41,WL493,21700,exp190905,2
D05,Sample X41,WL535,25638,exp190905,2
D06,Sample X42,WL493,21856,exp190905,2
D06,Sample X42,WL535,25666,exp190905,2
D07,Sample X43,WL493,22617,exp190905,2
D07,Sample X43,WL535,25917,exp190905,2
D08,Sample X44,WL493,21742,exp190905,2
D08,Sample X44,WL535,25614,exp190905,2
D09,Sample X45,WL493,23410,exp190905,2
D09,Sample X45,WL535,26403,exp190905,2
D10,Sample X46,WL493,22187,exp190905,2
D10,Sample X46,WL535,26154,exp190905,2
D11,Sample X47,WL493,23093,exp190905,2
D11,Sample X47,WL535,26651,exp190905,2
D12,Sample X48,WL493,24592,exp190905,2
D12,Sample X48,WL535,27285,exp190905,2
E01,Sample X49,WL493,25684,exp190905,2
E01,Sample X49,WL535,26947,exp190905,2
E02,Sample X50,WL493,24971,exp190905,2
E02,Sample X50,WL535,26548,exp190905,2
E03,Sample X51,WL493,22433,exp190905,2
E03,Sample X51,WL535,25747,exp190905,2
E04,Sample X52,WL493,21453,exp190905,2
E04,Sample X52,WL535,25702,exp190905,2
E05,Sample X53,WL493,21542,exp190905,2
E05,Sample X53,WL535,25256,exp190905,2
E06,Sample X54,WL493,24483,exp190905,2
E06,Sample X54,WL535,26241,exp190905,2
E07,Sample X55,WL493,20819,exp190905,2
E07,Sample X55,WL535,25261,exp190905,2
E08,Sample X56,WL493,21591,exp190905,2
E08,Sample X56,WL535,25641,exp190905,2
E09,Sample X57,WL493,23072,exp190905,2
E09,Sample X57,WL535,26071,exp190905,2
E10,Sample X58,WL493,22535,exp190905,2
E10,Sample X58,WL535,26033,exp190905,2
E11,Sample X59,WL493,26091,exp190905,2
E11,Sample X59,WL535,27374,exp190905,2
E12,Sample X60,WL493,24746,exp190905,2
E12,Sample X60,WL535,27128,exp190905,2
F01,Sample X61,WL493,28683,exp190905,2
F01,Sample X61,WL535,27743,exp190905,2
F02,Sample X62,WL493,22653,exp190905,2
F02,Sample X62,WL535,25573,exp190905,2
F03,Sample X63,WL493,22251,exp190905,2
F03,Sample X63,WL535,25710,exp190905,2
F04,Sample X64,WL493,22685,exp190905,2
F04,Sample X64,WL535,26119,exp190905,2
F05,Sample X65,WL493,23282,exp190905,2
F05,Sample X65,WL535,26038,exp190905,2
F06,Sample X66,WL493,23423,exp190905,2
F06,Sample X66,WL535,26234,exp190905,2
F07,Sample X67,WL493,22956,exp190905,2
F07,Sample X67,WL535,25971,exp190905,2
F08,Sample X68,WL493,21159,exp190905,2
F08,Sample X68,WL535,25510,exp190905,2
F09,Sample X69,WL493,22915,exp190905,2
F09,Sample X69,WL535,26396,exp190905,2
F10,Sample X70,WL493,24924,exp190905,2
F10,Sample X70,WL535,26999,exp190905,2
F11,Sample X71,WL493,26546,exp190905,2
F11,Sample X71,WL535,27802,exp190905,2
F12,Sample X72,WL493,25289,exp190905,2
F12,Sample X72,WL535,27059,exp190905,2
G01,Sample X73,WL493,22735,exp190905,2
G01,Sample X73,WL535,26319,exp190905,2
G02,Sample X74,WL493,29114,exp190905,2
G02,Sample X74,WL535,27902,exp190905,2
G03,Sample X75,WL493,24017,exp190905,2
G03,Sample X75,WL535,26478,exp190905,2
G04,Sample X76,WL493,20822,exp190905,2
G04,Sample X76,WL535,25504,exp190905,2
G05,Sample X77,WL493,22646,exp190905,2
G05,Sample X77,WL535,25745,exp190905,2
G06,Sample X78,WL493,22638,exp190905,2
G06,Sample X78,WL535,26210,exp190905,2
G07,Sample X79,WL493,21238,exp190905,2
G07,Sample X79,WL535,25956,exp190905,2
G08,Sample X80,WL493,20900,exp190905,2
G08,Sample X80,WL535,25631,exp190905,2
G09,Sample X81,WL493,23304,exp190905,2
G09,Sample X81,WL535,26319,exp190905,2
G10,Sample X82,WL493,20642,exp190905,2
G10,Sample X82,WL535,25793,exp190905,2
G11,Sample X83,WL493,22792,exp190905,2
G11,Sample X83,WL535,26584,exp190905,2
G12,Sample X84,WL493,26510,exp190905,2
G12,Sample X84,WL535,27622,exp190905,2
H01,Sample X85,WL493,21318,exp190905,2
H01,Sample X85,WL535,25705,exp190905,2
H02,Sample X86,WL493,21575,exp190905,2
H02,Sample X86,WL535,25828,exp190905,2
H03,Sample X87,WL493,24901,exp190905,2
H03,Sample X87,WL535,27158,exp190905,2
H04,Sample X88,WL493,22562,exp190905,2
H04,Sample X88,WL535,26039,exp190905,2
H05,Sample X89,WL493,21146,exp190905,2
H05,Sample X89,WL535,25565,exp190905,2
H06,Sample X90,WL493,20979,exp190905,2
H06,Sample X90,WL535,25659,exp190905,2
H07,Sample X91,WL493,20112,exp190905,2
H07,Sample X91,WL535,25283,exp190905,2
H08,Sample X92,WL493,20551,exp190905,2
H08,Sample X92,WL535,25633,exp190905,2
H09,Sample X93,WL493,21047,exp190905,2
H09,Sample X93,WL535,25826,exp190905,2
H10,Sample X94,WL493,47688,exp190905,2
H10,Sample X94,WL535,34114,exp190905,2
H11,Sample X95,WL493,49277,exp190905,2
H11,Sample X95,WL535,35142,exp190905,2
H12,Sample X96,WL493,47360,exp190905,2
H12,Sample X96,WL535,44382,exp190905,2
A01,Sample X1,WL493,29977,exp190909,2
A01,Sample X1,WL535,26804,exp190909,2
A02,Sample X2,WL493,30603,exp190909,2
A02,Sample X2,WL535,26457,exp190909,2
A03,Sample X3,WL493,30075,exp190909,2
A03,Sample X3,WL535,26180,exp190909,2
A04,Sample X4,WL493,30131,exp190909,2
A04,Sample X4,WL535,26294,exp190909,2
A05,Sample X5,WL493,30715,exp190909,2
A05,Sample X5,WL535,26531,exp190909,2
A06,Sample X6,WL493,30592,exp190909,2
A06,Sample X6,WL535,26249,exp190909,2
A07,Sample X7,WL493,33647,exp190909,2
A07,Sample X7,WL535,27242,exp190909,2
A08,Sample X8,WL493,31629,exp190909,2
