"well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment_id","well","well_row","well_col","experiment","cell_number","plate","sample_id","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp190831_2_E06",390,0.00656569313059736,105.571059562584,186.323479145272,618,1.77853933882488,144,-0.0585132773256312,1.13570879653702,1104,"exp190831_2","E06","E","06","exp190831","40000","2","BPH2749","1","VAN-039",0.0548811392781732,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E07",342,0.000170783446023987,4058.632125637,0.653577933908661,1104,0.0639097224776068,168,-0.0519444404061675,0.0639097224776068,1104,"exp190831_2","E07","E","07","exp190831","40000","2","Non infected","1","CONTROL",0.174704740381647,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E08",342,0.000674275534043708,1027.98803391703,23.5697399629144,1104,0.25076119673886,186,-0.0229299339608995,0.25076119673886,1104,"exp190831_2","E08","E","08","exp190831","40000","2","BPH2731","2","VAN-025",0.0756399526437647,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E09",354,0.006654013925789,104.16978207297,197.400867511199,600,1.76530184342566,120,-0.0928735237643083,1.2412776280994,1104,"exp190831_2","E09","E","09","exp190831","40000","2","BPH2733","2","VAN-026",0.0449200379522464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E10",288,0.000409357706139791,1693.25548331865,12.207125645812,1104,0.144865324093114,138,-0.0396928459291111,0.144865324093114,1104,"exp190831_2","E10","E","10","exp190831","40000","2","BPH2739","3","VAN-030",0.0778462484070086,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E11",354,0.00608668938397362,113.879177469614,190.532594092252,606,1.68374792687428,114,-0.0568729599843805,1.23552211786311,1104,"exp190831_2","E11","E","11","exp190831","40000","2","BPH2732","1","VAN-026",0.0768484936796374,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_E12",786,0.00246363322095118,281.351613002008,66.4443124537841,1104,1.13662931548147,150,-0.031232379500855,1.13662931548147,1104,"exp190831_2","E12","E","12","exp190831","40000","2","BPH2748","3","VAN-038",0.0548880052507987,FALSE,FALSE,FALSE,0,0.0108108108108108,0,FALSE,"1"
"exp190831_2_F01",732,0.00304307760751889,227.778344807015,108.197128670559,1104,1.75084384553253,144,0.00123158358268329,1.75084384553253,1104,"exp190831_2","F01","F","01","exp190831","40000","2","BPH2753","1","VAN-042",0.0661114094132236,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F02",756,0.00144589774907918,479.388795647117,49.3474643133434,1014,0.62361863826437,156,0.0220308035719208,0.61353095332762,1104,"exp190831_2","F02","F","02","exp190831","40000","2","BPH2748","1","VAN-038",0.0548880052507987,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F03",630,0.00125253043150729,553.397476918634,71.0158757041392,1104,0.811028613924493,132,-0.0234601953261074,0.811028613924493,1104,"exp190831_2","F03","F","03","exp190831","40000","2","BPH2743","2","VAN-033",0.0548080190114311,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F04",648,0.000836540805491371,828.587411408821,35.7163192123145,1104,0.482888635301954,150,-0.0275555907741032,0.482888635301954,1104,"exp190831_2","F04","F","04","exp190831","40000","2","BPH2750","1","VAN-040",0.091717691912239,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F05",432,0.00148754640527274,465.966761173315,72.3832984086281,1104,0.79964685712917,114,-0.0549214454768047,0.79964685712917,1104,"exp190831_2","F05","F","05","exp190831","40000","2","BPH2754","2","VAN-043",0.0441622478406697,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F06",456,0.00151977082599346,456.086647213299,78.087004565245,1104,0.843881284142607,114,-0.0413993226789107,0.843881284142607,1104,"exp190831_2","F06","F","06","exp190831","40000","2","BPH2754","1","VAN-043",0.0441622478406697,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F07",642,0.00115906534693265,598.022520813249,57.9189647706831,1104,0.734059173522737,138,-0.0397202186077941,0.734059173522737,1104,"exp190831_2","F07","F","07","exp190831","40000","2","BPH2743","3","VAN-033",0.0548080190114311,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F08",330,0.000649000767906706,1068.02212699321,24.0661306619813,1104,0.260721415337636,162,-0.0283457143608503,0.260721415337636,1104,"exp190831_2","F08","F","08","exp190831","40000","2","BPH2731","3","VAN-025",0.0756399526437647,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F09",354,0.00586103934566607,118.263526258784,181.962358094481,612,1.60420831463131,114,-0.0687755583876574,1.18009571061398,1104,"exp190831_2","F09","F","09","exp190831","40000","2","BPH2733","1","VAN-026",0.0449200379522464,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F10",486,0.0041372331553189,167.538824750262,121.018477736682,750,1.27284521247297,162,-0.0569284489121071,0.956932113017579,1104,"exp190831_2","F10","F","10","exp190831","40000","2","BPH2744","2","VAN-034",0.0747615358991245,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F11",444,0.00294305798440339,235.519376183972,87.9945871934895,762,0.869039399186849,162,-0.070369173871526,0.731407800155157,1104,"exp190831_2","F11","F","11","exp190831","40000","2","JE2","3","CONTROL",0.158091602213144,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_F12",420,0.0020587220279219,336.688086666861,117.87087659722,1104,1.25601424346408,90,-0.0292714372873533,1.25601424346408,1104,"exp190831_2","F12","F","12","exp190831","40000","2","BPH2755","2","VAN-043",0.0817132194790195,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G01",528,0.00138080729353454,501.98690563522,90.7045046852646,1104,1.100502108698,126,0.0238774637298888,1.100502108698,1104,"exp190831_2","G01","G","01","exp190831","40000","2","BPH2741","2","VAN-031",0.0667336532002684,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G02",702,0.003207010145087,216.135013361843,121.487321280871,1104,1.7626309046388,90,0.074321746175301,1.7626309046388,1104,"exp190831_2","G02","G","02","exp190831","40000","2","BPH2753","2","VAN-042",0.0661114094132236,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G03",456,0.00457303748550209,151.572599778032,143.353169001387,726,1.38415744047536,162,0.002850706702011,1.08011533557635,1104,"exp190831_2","G03","G","03","exp190831","40000","2","BPH2730","3","VAN-024",0.0563092583171068,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G04",324,0.000197822724489499,3503.88046847843,8.26688899415832,1104,0.105327443714246,180,-0.0131932823785768,0.105327443714246,1104,"exp190831_2","G04","G","04","exp190831","40000","2","BPH2737","2","VAN-029",0.0777264140742625,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G05",480,0.0010435922863355,664.193468690615,52.100192793358,1104,0.650303015190615,114,-0.0536207578255241,0.650303015190615,1104,"exp190831_2","G05","G","05","exp190831","40000","2","BPH2754","3","VAN-043",0.0441622478406697,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G06",498,0.00123606257143493,560.770301260135,70.8929521704002,1104,0.850104046984593,132,-0.0268848833604385,0.850104046984593,1104,"exp190831_2","G06","G","06","exp190831","40000","2","BPH2743","1","VAN-033",0.0548080190114311,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp190831_2_G07",324,0.000197508486352057,3509.45518019118,6.67195388593038,1104,0.0867049235262466,174,-0.0148771082421324,0.0867049235262466,1104,"exp190831_2","G07","G","07","exp190831","40000","2","BPH2738","1","VAN-029",0.0675595675146334,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
