"well_id","time_of_max_rate_growth","max_rate_growth","doubling_time_growth","AUC_growth","time_of_max_growth","max_growth","time_of_min_growth","min_growth","end_point_growth","end_point_timepoint_growth","experiment_id","well_row","well_col","OD","well","OD_blank_normalised","experiment","plate","sample_id","replicate","strain_group","mean_blank_OD","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","plate_replicate"
"exp191107_2_E03",440,0.00307041753675417,225.750137322591,55.7901702461126,930,1.14111323988134,150,0.0424991325141793,1.14111323988134,930,"exp191107_2","E","3",-0.004,"E03",TRUE,"exp191107","2","BPH2748","2","VAN-038",0.006,0.00132351126791839,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E04",270,0.00278555376723252,248.836403272372,69.8881240374528,930,1.09957556148443,0,-0.00574149896766083,1.09957556148443,930,"exp191107_2","E","4",0.005,"E04",TRUE,"exp191107","2","BPH2735","2","VAN-027",0.006,0.00250536639504748,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E05",470,0.00283544708262715,244.457808719787,50.6053369123428,930,1.09006361975133,170,0.0461243750230313,1.09006361975133,930,"exp191107_2","E","5",-0.002,"E05",TRUE,"exp191107","2","TOX-4","1","CONTROL",0.006,0.0152119412755205,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E06",350,0.00299758323250146,231.235340872093,65.903693365385,930,1.1569054635274,0,0.0323447703481684,1.1569054635274,930,"exp191107_2","E","6",-0.004,"E06",TRUE,"exp191107","2","BPH2749","1","VAN-039",0.006,0.0010002837319184,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E07",270,2.51195940155438e-05,27593.884683448,6.22471737916835,490,0.0698331637118553,0,0.0602067786158156,0.0633465967629108,930,"exp191107_2","E","7",-0.011,"E07",TRUE,"exp191107","2","Non infected","1","CONTROL",0.006,0.0156741729732648,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E08",320,0.00292370927309085,237.078011462874,67.7294771594782,930,1.12046600264433,0,0.0164039153220089,1.12046600264433,930,"exp191107_2","E","8",-0.004,"E08",TRUE,"exp191107","2","BPH2731","2","VAN-025",0.006,0.000764129586808184,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E09",350,0.00296494141873586,233.781071079467,63.5855633796259,930,1.11310066496553,0,0.0399899031195349,1.11310066496553,930,"exp191107_2","E","9",0,"E09",TRUE,"exp191107","2","BPH2733","2","VAN-026",0.006,0.00229238876042455,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E10",360,0.00319586960938942,216.88844204516,68.4600553793694,750,1.18633262026517,0,0.0386863362914923,1.16938106436126,930,"exp191107_2","E","10",0.004,"E10",TRUE,"exp191107","2","BPH2739","3","VAN-030",0.006,0.00433942188779791,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E11",250,0.00291872283984861,237.483042615961,73.8513785292343,770,1.11423767087914,0,-0.0192309604142455,1.10679206894182,930,"exp191107_2","E","11",0.001,"E11",TRUE,"exp191107","2","BPH2732","1","VAN-026",0.006,0.00501073279009495,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_E12",380,0.00282002866493296,245.794374071167,58.8526870855497,800,1.07025947084292,70,0.0509294791471157,1.0595922780864,930,"exp191107_2","E","12",-0.002,"E12",TRUE,"exp191107","2","BPH2748","3","VAN-038",0.006,0.00132351126791839,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F01",370,0.00239291736518289,289.666158407843,53.1470300095534,810,0.940559510887446,0,0.0491911548371671,0.93241577427934,930,"exp191107_2","F","1",0.003,"F01",TRUE,"exp191107","2","BPH2753","1","VAN-042",0.006,0.00275510840633602,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F02",400,0.00302531451148506,229.115742488438,60.3039171908225,810,1.1307256752246,100,0.0462822075545909,1.12151328120773,930,"exp191107_2","F","2",0,"F02",TRUE,"exp191107","2","BPH2748","1","VAN-038",0.006,0.00132351126791839,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F03",300,0.00294712908134841,235.194035085428,66.643536164151,700,1.04819059268071,0,0.00743969959932234,1.03026423500214,930,"exp191107_2","F","3",-0.003,"F03",TRUE,"exp191107","2","BPH2743","2","VAN-033",0.006,0.00175084083615192,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F04",350,0.00274928760413419,252.118832354111,58.3219590671143,750,0.999861899094664,0,0.0403427876556292,0.981865619842316,930,"exp191107_2","F","4",0.001,"F04",TRUE,"exp191107","2","BPH2750","1","VAN-040",0.006,0.00287356879170195,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F05",330,0.00285850702394444,242.485736348996,60.1391400379661,680,0.994631022181181,0,0.0328557669664084,0.966591588384989,930,"exp191107_2","F","5",0.001,"F05",TRUE,"exp191107","2","BPH2754","2","VAN-043",0.006,0.00137755420316801,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F06",340,0.00286436752688852,241.989609941183,59.4912812723202,690,0.992665083942572,0,0.0344914681143823,0.962962492047454,930,"exp191107_2","F","6",-0.002,"F06",TRUE,"exp191107","2","BPH2754","1","VAN-043",0.006,0.00137755420316801,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F07",280,0.00293495479138076,236.169627755612,68.6182149758851,710,1.05680335361851,0,-0.000992567971326359,1.04093499432592,930,"exp191107_2","F","7",0.002,"F07",TRUE,"exp191107","2","BPH2743","3","VAN-033",0.006,0.00175084083615192,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F08",290,0.00283365553473062,244.612364510932,69.1390166598111,930,1.10753680550852,0,0.00491859866183111,1.10753680550852,930,"exp191107_2","F","8",-0.002,"F08",TRUE,"exp191107","2","BPH2731","3","VAN-025",0.006,0.000764129586808184,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F09",340,0.00292642082046198,236.858340985464,64.3055535093734,930,1.10608367743102,0,0.036660632075903,1.10608367743102,930,"exp191107_2","F","9",0.006,"F09",TRUE,"exp191107","2","BPH2733","1","VAN-026",0.006,0.00229238876042455,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F10",310,0.00281432234533814,246.292746709746,65.1228217173128,720,1.05238169819689,0,0.016342824674906,1.02223275436405,930,"exp191107_2","F","10",0.001,"F10",TRUE,"exp191107","2","BPH2744","2","VAN-034",0.006,0.00822105427814317,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F11",260,0.00279558434974484,247.943575955134,67.5428620707013,650,1.02712150529475,0,-0.00741729840291992,0.965771403707319,930,"exp191107_2","F","11",0.008,"F11",TRUE,"exp191107","2","JE2","3","CONTROL",0.006,0.0165342570261804,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_F12",280,0.00275707499064212,251.406720133685,62.747118991399,600,0.96383970185869,0,0.00555595978111676,0.897174674524728,930,"exp191107_2","F","12",0.005,"F12",TRUE,"exp191107","2","BPH2755","2","VAN-043",0.006,0.00736899887131998,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G01",370,0.00250045610648952,277.208297622581,50.087071958126,700,0.870205385617936,80,0.0461724152913476,0.825254351406668,930,"exp191107_2","G","1",0.001,"G01",TRUE,"exp191107","2","BPH2741","2","VAN-031",0.006,0.00805060474892146,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G02",370,0.0025859050348333,268.04819636566,56.7721935479454,930,1.03222818782183,0,0.0424897703517944,1.03222818782183,930,"exp191107_2","G","2",-0.003,"G02",TRUE,"exp191107","2","BPH2753","2","VAN-042",0.006,0.00275510840633602,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G03",430,0.00294541518108345,235.330891553623,55.6041948540078,930,1.14448102671281,140,0.0420978922815396,1.14448102671281,930,"exp191107_2","G","3",-0.003,"G03",TRUE,"exp191107","2","BPH2730","3","VAN-024",0.006,0.0010108484280605,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G04",370,0.00325709362037081,212.811561885972,65.3683330575121,930,1.15857700419735,70,0.0392500697188702,1.15857700419735,930,"exp191107_2","G","4",-0.003,"G04",TRUE,"exp191107","2","BPH2737","2","VAN-029",0.006,0.00231250056022883,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G05",330,0.00287994499024541,240.680701509121,60.9694448318947,670,0.998574284331264,0,0.0278430275203178,0.963657140785506,930,"exp191107_2","G","5",0.002,"G05",TRUE,"exp191107","2","BPH2754","3","VAN-043",0.006,0.00137755420316801,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G06",330,0.00295888884655457,234.259283300577,63.762450660583,730,1.04289340279141,0,0.0247881796900842,1.03278571535166,930,"exp191107_2","G","6",0.001,"G06",TRUE,"exp191107","2","BPH2743","1","VAN-033",0.006,0.00175084083615192,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G07",520,0.00300477100587377,230.682198145873,46.841888504754,930,1.0917358431289,210,0.0523084790316034,1.0917358431289,930,"exp191107_2","G","7",0.002,"G07",TRUE,"exp191107","2","BPH2738","1","VAN-029",0.006,0.00166538182433318,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G08",310,0.00288618745797052,240.160138817645,68.1907208363476,860,1.10615141800675,0,0.00856249008573017,1.10575268490073,930,"exp191107_2","G","8",-0.002,"G08",TRUE,"exp191107","2","BPH2731","1","VAN-025",0.006,0.000764129586808184,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G09",300,0.00278171863179076,249.179472229269,66.2762617873036,720,1.0502721800662,0,0.00709368566697914,1.02000563703274,930,"exp191107_2","G","9",0.002,"G09",TRUE,"exp191107","2","BPH2744","1","VAN-034",0.006,0.00822105427814317,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G10",340,0.00298792494352366,231.982795304931,65.3421275344071,930,1.12232958132998,0,0.0326879057408644,1.12232958132998,930,"exp191107_2","G","10",0,"G10",TRUE,"exp191107","2","BPH2736","2","VAN-028",0.006,0.00175084083615192,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
"exp191107_2_G11",340,0.00295015166259695,234.953066768704,66.8837534592785,930,1.15931054385769,0,0.0293735280538241,1.15931054385769,930,"exp191107_2","G","11",0.003,"G11",TRUE,"exp191107","2","BPH2728","3","VAN-024",0.006,0.00250536639504748,FALSE,FALSE,FALSE,0,0,0,FALSE,"1"
