GP-0624	BPH3366	BPH3382
GP-0625	BPH3366	BPH3435
GP-0626	BPH3366	BPH3483
GP-0627	BPH3368	BPH3348
GP-0628	BPH3368	BPH3735
GP-0629	BPH3370	BPH3415
GP-0630	BPH3370	BPH3465
GP-0631	BPH3372	BPH2710
GP-0632	BPH3372	BPH2726
GP-0633	BPH3372	BPH2727
GP-0634	BPH3372	BPH2780
GP-0635	BPH3372	BPH2896
GP-0636	BPH3372	BPH3376
GP-0637	BPH3372	BPH3382
GP-0638	BPH3372	BPH3435
GP-0639	BPH3372	BPH3483
GP-0640	BPH3376	BPH2710
GP-0641	BPH3376	BPH2726
GP-0642	BPH3376	BPH2727
GP-0643	BPH3376	BPH2780
GP-0644	BPH3376	BPH2781
GP-0645	BPH3376	BPH2896
GP-0646	BPH3376	BPH2982
GP-0647	BPH3376	BPH3362
GP-0648	BPH3376	BPH3366
GP-0649	BPH3376	BPH3372
GP-0650	BPH3376	BPH3382
GP-0651	BPH3376	BPH3435
GP-0652	BPH3376	BPH3483
GP-0653	BPH3381	BPH3738
GP-0654	BPH3382	BPH2710
GP-0655	BPH3382	BPH2726
GP-0656	BPH3382	BPH2727
GP-0657	BPH3382	BPH2780
GP-0658	BPH3382	BPH2781
GP-0659	BPH3382	BPH2896
GP-0660	BPH3382	BPH2982
GP-0661	BPH3382	BPH3362
GP-0662	BPH3382	BPH3366
GP-0663	BPH3382	BPH3372
GP-0664	BPH3382	BPH3376
GP-0665	BPH3382	BPH3435
GP-0666	BPH3382	BPH3483
GP-0667	BPH3389	BPH3460
GP-0668	BPH3394	BPH2779
GP-0669	BPH3394	BPH3547
GP-0670	BPH3396	BPH3481
GP-0671	BPH3401	BPH3417
GP-0672	BPH3401	BPH3433
GP-0673	BPH3401	BPH3463
GP-0674	BPH3401	BPH3493
GP-0675	BPH3401	BPH3523
GP-0676	BPH3401	BPH3527
GP-0677	BPH3401	BPH3529
GP-0678	BPH3401	BPH3739
GP-0679	BPH3401	BPH3741
GP-0680	BPH3401	BPH3742
GP-0681	BPH3401	BPH3743
GP-0682	BPH3401	BPH3744
GP-0683	BPH3401	BPH3745
GP-0684	BPH3401	BPH3748
GP-0685	BPH3403	BPH3332
GP-0686	BPH3403	BPH3413
GP-0687	BPH3403	BPH3415
GP-0688	BPH3403	BPH3431
GP-0689	BPH3403	BPH3439
GP-0690	BPH3403	BPH3453
GP-0691	BPH3403	BPH3455
GP-0692	BPH3403	BPH3457
GP-0693	BPH3403	BPH3469
GP-0694	BPH3403	BPH3485
GP-0695	BPH3403	BPH3499
GP-0696	BPH3403	BPH3511
GP-0697	BPH3403	BPH3525
GP-0698	BPH3403	BPH3533
GP-0699	BPH3403	BPH3545
GP-0700	BPH3403	BPH3547
GP-0701	BPH3413	BPH3403
GP-0702	BPH3413	BPH3415
GP-0703	BPH3413	BPH3499
GP-0704	BPH3413	BPH3525
GP-0705	BPH3415	BPH3356
GP-0706	BPH3415	BPH3370
GP-0707	BPH3415	BPH3403
GP-0708	BPH3415	BPH3413
GP-0709	BPH3415	BPH3431
GP-0710	BPH3415	BPH3439
GP-0711	BPH3415	BPH3453
GP-0712	BPH3415	BPH3455
GP-0713	BPH3415	BPH3469
GP-0714	BPH3415	BPH3485
GP-0715	BPH3415	BPH3499
GP-0716	BPH3415	BPH3511
GP-0717	BPH3415	BPH3525
GP-0718	BPH3415	BPH3533
GP-0719	BPH3415	BPH3545
GP-0720	BPH3415	BPH3547
GP-0721	BPH3415	BPH3737
GP-0722	BPH3417	BPH3401
GP-0723	BPH3417	BPH3433
GP-0724	BPH3417	BPH3463
GP-0725	BPH3417	BPH3493
GP-0726	BPH3417	BPH3523
GP-0727	BPH3417	BPH3527
GP-0728	BPH3417	BPH3529
GP-0729	BPH3417	BPH3739
GP-0730	BPH3417	BPH3741
GP-0731	BPH3417	BPH3742
GP-0732	BPH3417	BPH3743
GP-0733	BPH3417	BPH3744
GP-0734	BPH3417	BPH3745
GP-0735	BPH3417	BPH3748
GP-0736	BPH3423	BPH3434
GP-0737	BPH3423	BPH3746
GP-0738	BPH3427	BPH3747
GP-0739	BPH3431	BPH3403
GP-0740	BPH3431	BPH3415
GP-0741	BPH3433	BPH3401
GP-0742	BPH3433	BPH3417
GP-0743	BPH3433	BPH3463
GP-0744	BPH3433	BPH3493
GP-0745	BPH3433	BPH3523
GP-0746	BPH3433	BPH3527
GP-0747	BPH3433	BPH3741
GP-0748	BPH3433	BPH3742
GP-0749	BPH3433	BPH3743
GP-0750	BPH3433	BPH3744
GP-0751	BPH3433	BPH3745
GP-0752	BPH3433	BPH3748
GP-0753	BPH3434	BPH3423
GP-0754	BPH3434	BPH3746
GP-0755	BPH3435	BPH2710
GP-0756	BPH3435	BPH2726
GP-0757	BPH3435	BPH2727
GP-0758	BPH3435	BPH2780
GP-0759	BPH3435	BPH2781
GP-0760	BPH3435	BPH2896
GP-0761	BPH3435	BPH2981
GP-0762	BPH3435	BPH2982
GP-0763	BPH3435	BPH3362
GP-0764	BPH3435	BPH3366
GP-0765	BPH3435	BPH3372
GP-0766	BPH3435	BPH3376
GP-0767	BPH3435	BPH3382
GP-0768	BPH3435	BPH3483
GP-0769	BPH3437	BPH3749
GP-0770	BPH3439	BPH3403
GP-0771	BPH3439	BPH3415
GP-0772	BPH3439	BPH3453
GP-0773	BPH3439	BPH3455
GP-0774	BPH3439	BPH3457
GP-0775	BPH3439	BPH3533
GP-0776	BPH3443	BPH3485
GP-0777	BPH3443	BPH3511
