well,sample,wave_length,time,OD,timepoint
A03,Sample X3,WL493,30,36167,30
A04,Sample X4,WL493,30,35357,30
A05,Sample X5,WL493,30,36126,30
A06,Sample X6,WL493,30,35531,30
A07,Sample X7,WL493,30,35346,30
A08,Sample X8,WL493,30,35546,30
A09,Sample X9,WL493,30,36386,30
A10,Sample X10,WL493,30,35503,30
A11,Sample X11,WL493,30,35447,30
A12,Sample X12,WL493,30,36223,30
B01,Sample X13,WL493,30,35875,30
B02,Sample X14,WL493,30,35679,30
B03,Sample X15,WL493,30,35917,30
B04,Sample X16,WL493,30,35675,30
B05,Sample X17,WL493,30,35964,30
B06,Sample X18,WL493,30,36299,30
B07,Sample X19,WL493,30,35528,30
B08,Sample X20,WL493,30,35264,30
B09,Sample X21,WL493,30,36135,30
B10,Sample X22,WL493,30,35844,30
B11,Sample X23,WL493,30,34823,30
B12,Sample X24,WL493,30,36053,30
C01,Sample X25,WL493,30,35468,30
C02,Sample X26,WL493,30,35235,30
C03,Sample X27,WL493,30,35556,30
C04,Sample X28,WL493,30,34774,30
C05,Sample X29,WL493,30,35080,30
C06,Sample X30,WL493,30,35233,30
C07,Sample X31,WL493,30,35270,30
C08,Sample X32,WL493,30,35639,30
C09,Sample X33,WL493,30,35286,30
C10,Sample X34,WL493,30,35635,30
C11,Sample X35,WL493,30,35021,30
C12,Sample X36,WL493,30,36042,30
D01,Sample X37,WL493,30,35751,30
D02,Sample X38,WL493,30,35120,30
D03,Sample X39,WL493,30,35641,30
D04,Sample X40,WL493,30,35065,30
D05,Sample X41,WL493,30,35067,30
D06,Sample X42,WL493,30,34877,30
D07,Sample X43,WL493,30,35294,30
D08,Sample X44,WL493,30,35483,30
D09,Sample X45,WL493,30,35543,30
D10,Sample X46,WL493,30,35223,30
D11,Sample X47,WL493,30,35162,30
D12,Sample X48,WL493,30,35513,30
E01,Sample X49,WL493,30,35965,30
E02,Sample X50,WL493,30,35599,30
E03,Sample X51,WL493,30,35232,30
E04,Sample X52,WL493,30,35081,30
E05,Sample X53,WL493,30,35206,30
E06,Sample X54,WL493,30,35183,30
E07,Sample X55,WL493,30,35074,30
E08,Sample X56,WL493,30,35169,30
E09,Sample X57,WL493,30,34916,30
E10,Sample X58,WL493,30,35431,30
E11,Sample X59,WL493,30,35508,30
E12,Sample X60,WL493,30,35424,30
F01,Sample X61,WL493,30,34669,30
F02,Sample X62,WL493,30,35409,30
F03,Sample X63,WL493,30,35114,30
F04,Sample X64,WL493,30,35104,30
F05,Sample X65,WL493,30,34773,30
F06,Sample X66,WL493,30,34777,30
F07,Sample X67,WL493,30,34674,30
F08,Sample X68,WL493,30,35413,30
F09,Sample X69,WL493,30,35320,30
F10,Sample X70,WL493,30,35474,30
F11,Sample X71,WL493,30,35749,30
F12,Sample X72,WL493,30,35307,30
G01,Sample X73,WL493,30,35517,30
G02,Sample X74,WL493,30,35465,30
G03,Sample X75,WL493,30,35093,30
G04,Sample X76,WL493,30,34581,30
G05,Sample X77,WL493,30,35103,30
G06,Sample X78,WL493,30,35380,30
G07,Sample X79,WL493,30,35452,30
G08,Sample X80,WL493,30,35071,30
G09,Sample X81,WL493,30,35012,30
G10,Sample X82,WL493,30,34795,30
G11,Sample X83,WL493,30,35608,30
G12,Sample X84,WL493,30,35873,30
H01,Sample X85,WL493,30,35417,30
H02,Sample X86,WL493,30,35703,30
H03,Sample X87,WL493,30,34984,30
H04,Sample X88,WL493,30,35449,30
H05,Sample X89,WL493,30,34834,30
H06,Sample X90,WL493,30,35234,30
H07,Sample X91,WL493,30,35545,30
H08,Sample X92,WL493,30,36035,30
H09,Sample X93,WL493,30,35146,30
H10,Sample X94,WL493,30,34848,30
H11,Sample X95,WL493,30,35014,30
H12,Sample X96,WL493,30,35029,30
A01,Sample X1,WL493,36,36392,36
A02,Sample X2,WL493,36,35550,36
A03,Sample X3,WL493,36,36171,36
A04,Sample X4,WL493,36,35701,36
A05,Sample X5,WL493,36,35819,36
A06,Sample X6,WL493,36,35723,36
A07,Sample X7,WL493,36,35309,36
A08,Sample X8,WL493,36,35738,36
A09,Sample X9,WL493,36,36199,36
A10,Sample X10,WL493,36,35117,36
A11,Sample X11,WL493,36,35226,36
A12,Sample X12,WL493,36,35729,36
B01,Sample X13,WL493,36,35505,36
B02,Sample X14,WL493,36,35778,36
B03,Sample X15,WL493,36,35712,36
B04,Sample X16,WL493,36,35500,36
B05,Sample X17,WL493,36,35583,36
B06,Sample X18,WL493,36,35853,36
B07,Sample X19,WL493,36,35099,36
B08,Sample X20,WL493,36,35277,36
B09,Sample X21,WL493,36,35901,36
B10,Sample X22,WL493,36,35502,36
B11,Sample X23,WL493,36,34386,36
B12,Sample X24,WL493,36,35474,36
C01,Sample X25,WL493,36,35318,36
C02,Sample X26,WL493,36,35521,36
C03,Sample X27,WL493,36,35725,36
C04,Sample X28,WL493,36,34708,36
C05,Sample X29,WL493,36,35266,36
C06,Sample X30,WL493,36,34451,36
C07,Sample X31,WL493,36,34685,36
C08,Sample X32,WL493,36,35415,36
C09,Sample X33,WL493,36,35252,36
C10,Sample X34,WL493,36,35109,36
C11,Sample X35,WL493,36,35361,36
C12,Sample X36,WL493,36,36078,36
D01,Sample X37,WL493,36,35783,36
D02,Sample X38,WL493,36,35234,36
D03,Sample X39,WL493,36,35633,36
D04,Sample X40,WL493,36,35191,36
D05,Sample X41,WL493,36,34721,36
D06,Sample X42,WL493,36,34521,36
D07,Sample X43,WL493,36,34797,36
D08,Sample X44,WL493,36,35515,36
D09,Sample X45,WL493,36,35056,36
D10,Sample X46,WL493,36,34835,36
D11,Sample X47,WL493,36,35539,36
D12,Sample X48,WL493,36,35487,36
E01,Sample X49,WL493,36,35737,36
E02,Sample X50,WL493,36,35452,36
E03,Sample X51,WL493,36,35088,36
E04,Sample X52,WL493,36,35385,36
E05,Sample X53,WL493,36,34976,36
E06,Sample X54,WL493,36,34822,36
E07,Sample X55,WL493,36,35096,36
E08,Sample X56,WL493,36,34853,36
E09,Sample X57,WL493,36,35030,36
E10,Sample X58,WL493,36,35313,36
E11,Sample X59,WL493,36,35281,36
E12,Sample X60,WL493,36,35553,36
F01,Sample X61,WL493,36,34986,36
F02,Sample X62,WL493,36,35419,36
F03,Sample X63,WL493,36,34969,36
F04,Sample X64,WL493,36,34926,36
F05,Sample X65,WL493,36,34673,36
F06,Sample X66,WL493,36,34763,36
F07,Sample X67,WL493,36,35050,36
F08,Sample X68,WL493,36,35418,36
F09,Sample X69,WL493,36,35123,36
F10,Sample X70,WL493,36,34944,36
F11,Sample X71,WL493,36,34901,36
F12,Sample X72,WL493,36,35324,36
G01,Sample X73,WL493,36,35589,36
G02,Sample X74,WL493,36,35711,36
G03,Sample X75,WL493,36,35318,36
G04,Sample X76,WL493,36,35207,36
G05,Sample X77,WL493,36,34700,36
G06,Sample X78,WL493,36,35499,36
G07,Sample X79,WL493,36,35575,36
G08,Sample X80,WL493,36,34844,36
G09,Sample X81,WL493,36,34713,36
G10,Sample X82,WL493,36,34944,36
G11,Sample X83,WL493,36,35231,36
G12,Sample X84,WL493,36,35375,36
H01,Sample X85,WL493,36,35361,36
H02,Sample X86,WL493,36,35992,36
H03,Sample X87,WL493,36,34774,36
H04,Sample X88,WL493,36,35331,36
H05,Sample X89,WL493,36,34804,36
H06,Sample X90,WL493,36,35402,36
H07,Sample X91,WL493,36,34902,36
H08,Sample X92,WL493,36,35956,36
H09,Sample X93,WL493,36,34766,36
H10,Sample X94,WL493,36,35450,36
H11,Sample X95,WL493,36,35459,36
H12,Sample X96,WL493,36,35140,36
A01,Sample X1,WL493,42,36235,42
A02,Sample X2,WL493,42,36032,42
A03,Sample X3,WL493,42,35796,42
A04,Sample X4,WL493,42,35482,42
A05,Sample X5,WL493,42,35801,42
A06,Sample X6,WL493,42,35371,42
A07,Sample X7,WL493,42,34803,42
