well,sample.x,wave_length,time,f_signal,timepoint,well_row,well_col,sample.y,f_signal_endpoint_493,f_signal_endpoint_535,total_cell_death,zero_cell_death,pct_death,sample_id,replicate,plate_number,exp
A01,Sample X1,WL535,120,23708,120,A,01,Sample X1,29977,26804,33260,21304,0.20107059217129475,BPH2750,2,2,exp190909
A01,Sample X1,WL535,234,24242,234,A,01,Sample X1,29977,26804,33260,21304,0.24573435931749749,BPH2750,2,2,exp190909
A01,Sample X1,WL535,606,24680,606,A,01,Sample X1,29977,26804,33260,21304,0.2823686851789896,BPH2750,2,2,exp190909
A01,Sample X1,WL535,348,24696,348,A,01,Sample X1,29977,26804,33260,21304,0.28370692539310804,BPH2750,2,2,exp190909
A01,Sample X1,WL535,834,25084,834,A,01,Sample X1,29977,26804,33260,21304,0.3161592505854801,BPH2750,2,2,exp190909
A01,Sample X1,WL535,462,24386,462,A,01,Sample X1,29977,26804,33260,21304,0.2577785212445634,BPH2750,2,2,exp190909
A01,Sample X1,WL535,90,23650,90,A,01,Sample X1,29977,26804,33260,21304,0.19621947139511542,BPH2750,2,2,exp190909
A01,Sample X1,WL535,576,24810,576,A,01,Sample X1,29977,26804,33260,21304,0.2932418869187019,BPH2750,2,2,exp190909
A01,Sample X1,WL535,690,24420,690,A,01,Sample X1,29977,26804,33260,21304,0.2606222816995651,BPH2750,2,2,exp190909
A01,Sample X1,WL535,204,23992,204,A,01,Sample X1,29977,26804,33260,21304,0.22482435597189696,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1176,25302,1176,A,01,Sample X1,29977,26804,33260,21304,0.33439277350284374,BPH2750,2,2,exp190909
A01,Sample X1,WL535,804,24611,804,A,01,Sample X1,29977,26804,33260,21304,0.27659752425560385,BPH2750,2,2,exp190909
A01,Sample X1,WL535,918,25018,918,A,01,Sample X1,29977,26804,33260,21304,0.31063900970224156,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1032,25144,1032,A,01,Sample X1,29977,26804,33260,21304,0.32117765138842425,BPH2750,2,2,exp190909
A01,Sample X1,WL535,174,23676,174,A,01,Sample X1,29977,26804,33260,21304,0.19839411174305788,BPH2750,2,2,exp190909
A01,Sample X1,WL535,288,24606,288,A,01,Sample X1,29977,26804,33260,21304,0.27617932418869184,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1146,25471,1146,A,01,Sample X1,29977,26804,33260,21304,0.3485279357644697,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1260,25451,1260,A,01,Sample X1,29977,26804,33260,21304,0.3468551354968217,BPH2750,2,2,exp190909
A01,Sample X1,WL535,144,23763,144,A,01,Sample X1,29977,26804,33260,21304,0.20567079290732687,BPH2750,2,2,exp190909
A01,Sample X1,WL535,630,24367,630,A,01,Sample X1,29977,26804,33260,21304,0.25618936099029777,BPH2750,2,2,exp190909
A01,Sample X1,WL535,258,24676,258,A,01,Sample X1,29977,26804,33260,21304,0.28203412512546,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1116,25369,1116,A,01,Sample X1,29977,26804,33260,21304,0.3399966543994647,BPH2750,2,2,exp190909
A01,Sample X1,WL535,372,24322,372,A,01,Sample X1,29977,26804,33260,21304,0.25242556038808966,BPH2750,2,2,exp190909
A01,Sample X1,WL535,858,25374,858,A,01,Sample X1,29977,26804,33260,21304,0.3404148544663767,BPH2750,2,2,exp190909
A01,Sample X1,WL535,648,24998,648,A,01,Sample X1,29977,26804,33260,21304,0.3089662094345935,BPH2750,2,2,exp190909
A01,Sample X1,WL535,972,25244,972,A,01,Sample X1,29977,26804,33260,21304,0.3295416527266644,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1134,25147,1134,A,01,Sample X1,29977,26804,33260,21304,0.32142857142857145,BPH2750,2,2,exp190909
A01,Sample X1,WL535,714,24772,714,A,01,Sample X1,29977,26804,33260,21304,0.2900635664101706,BPH2750,2,2,exp190909
A01,Sample X1,WL535,876,25090,876,A,01,Sample X1,29977,26804,33260,21304,0.3166610906657745,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1200,25302,1200,A,01,Sample X1,29977,26804,33260,21304,0.33439277350284374,BPH2750,2,2,exp190909
A01,Sample X1,WL535,132,24446,132,A,01,Sample X1,29977,26804,33260,21304,0.26279692204750754,BPH2750,2,2,exp190909
A01,Sample X1,WL535,942,25095,942,A,01,Sample X1,29977,26804,33260,21304,0.31707929073268654,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1056,25543,1056,A,01,Sample X1,29977,26804,33260,21304,0.3545500167280027,BPH2750,2,2,exp190909
A01,Sample X1,WL535,360,24431,360,A,01,Sample X1,29977,26804,33260,21304,0.2615423218467715,BPH2750,2,2,exp190909
A01,Sample X1,WL535,312,24618,312,A,01,Sample X1,29977,26804,33260,21304,0.27718300434928067,BPH2750,2,2,exp190909
A01,Sample X1,WL535,426,24098,426,A,01,Sample X1,29977,26804,33260,21304,0.2336901973904316,BPH2750,2,2,exp190909
A01,Sample X1,WL535,54,22872,54,A,01,Sample X1,29977,26804,33260,21304,0.13114754098360656,BPH2750,2,2,exp190909
A01,Sample X1,WL535,588,24777,588,A,01,Sample X1,29977,26804,33260,21304,0.2904817664770826,BPH2750,2,2,exp190909
A01,Sample X1,WL535,540,24804,540,A,01,Sample X1,29977,26804,33260,21304,0.2927400468384075,BPH2750,2,2,exp190909
A01,Sample X1,WL535,654,24537,654,A,01,Sample X1,29977,26804,33260,21304,0.27040816326530615,BPH2750,2,2,exp190909
A01,Sample X1,WL535,444,24277,444,A,01,Sample X1,29977,26804,33260,21304,0.24866175978588156,BPH2750,2,2,exp190909
A01,Sample X1,WL535,768,24997,768,A,01,Sample X1,29977,26804,33260,21304,0.3088825694212111,BPH2750,2,2,exp190909
A01,Sample X1,WL535,396,24579,396,A,01,Sample X1,29977,26804,33260,21304,0.27392104382736704,BPH2750,2,2,exp190909
A01,Sample X1,WL535,510,24655,510,A,01,Sample X1,29977,26804,33260,21304,0.28027768484442955,BPH2750,2,2,exp190909
A01,Sample X1,WL535,672,24928,672,A,01,Sample X1,29977,26804,33260,21304,0.30311140849782536,BPH2750,2,2,exp190909
A01,Sample X1,WL535,996,25411,996,A,01,Sample X1,29977,26804,33260,21304,0.3435095349615256,BPH2750,2,2,exp190909
A01,Sample X1,WL535,1158,25075,1158,A,01,Sample X1,29977,26804,33260,21304,0.3154064904650385,BPH2750,2,2,exp190909
A01,Sample X1,WL535,738,25121,738,A,01,Sample X1,29977,26804,33260,21304,0.319253931080629,BPH2750,2,2,exp190909
A01,Sample X1,WL535,852,24879,852,A,01,Sample X1,29977,26804,33260,21304,0.29901304784208765,BPH2750,2,2,exp190909
A01,Sample X1,WL535,156,23596,156,A,01,Sample X1,29977,26804,33260,21304,0.1917029106724657,BPH2750,2,2,exp190909
A01,Sample X1,WL535,108,23889,108,A,01,Sample X1,29977,26804,33260,21304,0.21620943459350953,BPH2750,2,2,exp190909
A01,Sample X1,WL535,222,24491,222,A,01,Sample X1,29977,26804,33260,21304,0.26656072264971564,BPH2750,2,2,exp190909
