"sample_id","well_id","time_of_max_rate_death","max_rate_death","doubling_time_death","AUC_death","time_of_max_death","max_death","time_of_min_death","min_death","end_point_death","end_point_timepoint_death","experiment","well","well_row","well_col","cell_number","plate","replicate","strain_group","sd","outlier_sd","outlier_mad","outlier_tukey","proportion_outlier_sd","proportion_outlier_mad","proportion_outlier_tukey","outlier_curve","ST","mecA","mortality","intrahost_index","included","unrelated_to_index","mut_count","scv","vanco_difference","persister_type","intrahost_sampledelay","sample_type","genes"
"BPH2747","exp190831_2_A09",816,0.00140271817835874,540.929675614249,49.9267787066417,1131,0.742560284056357,153,-0.0356576141158609,0.73914341702356,1152,"exp190831","A09","A",7.66666666666667,40000,"2",2,"VAN-038",0.0437518911794815,FALSE,FALSE,FALSE,0,0,0,FALSE,"239",1,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2748","exp190831_2_E03",804,0.00154724729676017,482.785227559583,56.5214561101801,1124.4,0.771130134214644,157.2,-0.00687350194393625,0.768539648244497,1152,"exp190831","E03","E",4.4,40000,"2",1.8,"VAN-038",0.0299887193714173,FALSE,FALSE,FALSE,0,0.00518134715025907,0.0113989637305699,FALSE,"239",1,NA,0,TRUE,0,2,FALSE,0,NA,8,"paired-colonising",NA
"BPH2749","exp190831_2_C06",426,0.00495492426867648,146.527917522979,166.956077481871,712,1.51644355053836,138,-0.0337713029139429,1.06357739902786,1152,"exp190831","C06","C",4.66666666666667,40000,"2",2,"VAN-039",0.030379663714144,FALSE,FALSE,FALSE,0,0,0,FALSE,"20",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2750","exp190831_2_A01",496,0.00236431460359128,448.669804062753,110.073557470488,931,0.996627894673592,99,-0.00757988554205752,0.808926614557141,1152,"exp190831","A01","A",2.66666666666667,40000,"2",2,"VAN-040",0.0606617729333674,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,"Died",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2751","exp190831_2_B10",508,0.0020284859959393,479.398569679442,97.0675052843255,989,0.931400683666544,118,-0.0218016593849847,0.801812165508684,1152,"exp190831","B10","B",8,40000,"2",2,"VAN-040",0.0461807496365617,FALSE,FALSE,FALSE,0,0,0,FALSE,"39",0,NA,0,TRUE,0,1,FALSE,0.5,"Relapse (on treatment)",4,"paired-invasive","prfA"
"BPH2752","exp190831_2_B01",397.2,0.00175481871446264,415.196060446112,87.9631359229931,895.2,0.729183535422204,105.6,-0.00325555829976061,0.690863057136134,1152,"exp190831","B01","B",2.6,40000,"2",2.2,"VAN-041",0.0556242716542876,FALSE,FALSE,FALSE,0,0,0,FALSE,"30",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2753","exp190831_2_B05",783,0.00290132203849611,240.046153222716,120.78601596692,1152,1.7871804684696,106,-0.00374430811899966,1.7871804684696,1152,"exp190831","B05","B",2.66666666666667,40000,"2",2,"VAN-042",0.0407465440248053,FALSE,FALSE,FALSE,0,0,0,FALSE,"121",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPH2754","exp190831_2_F05",339,0.00312652975440892,335.28621779746,147.493370072013,1094,1.1681946079063,57,-0.0712396847528374,1.1621194240371,1152,"exp190831","F05","F",5.33333333333333,40000,"2",2,"VAN-043",0.0588952518810402,FALSE,FALSE,FALSE,0,0,0,FALSE,"5",0,"Survived",1,TRUE,NA,NA,FALSE,0,NA,NA,"index",NA
"BPH2755","exp190831_2_A08",333,0.00247986340480242,300.733102368885,145.942392024466,1132,1.32634552317497,48,-0.00801425464531491,1.32446103072735,1152,"exp190831","A08","A",7,40000,"2",2,"VAN-043",0.065355100858673,FALSE,FALSE,FALSE,0,0,0,FALSE,"-",0,NA,0,TRUE,0,0,FALSE,-0.25,"Persistent",3,"paired-invasive",NA
"BPH2756","exp191109_3_A03",505,0.00225261231814766,312.172721443528,129.307153038276,1152,1.43167104713346,97,-0.0407640872426144,1.43167104713346,1152,"exp191109","A03","A",7,40000,"3",2,"VAN-044",0.0281182037749233,FALSE,FALSE,FALSE,0,0,0,FALSE,"567",0,"Survived",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
