well_id,AUC,time_of_max_death,max_death,time_of_min_death,min_death,time_of_max_death_rate,max_death_rate,time_of_min_death_rate,min_death_rate,experiment,well,well_row,well_col,cell_number,plate,sample_id,replicate,strain_group,ST,mecA,mortality,intrahost_index,included,unrelated_to_index,mut_count,scv,vanco_difference,persister_type,intrahost_sampledelay,sample_type,genes
exp191121_4_A08,16.27126436781936,0,0.21749530274774487,192,0.04115086742632479,960,1.6819694162116398e-4,0,-0.0019247380651984253,exp191121,A08,A,08,40000,4,Non infected,1,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_A09,32.26719717065116,1152,0.26393782608065025,180,0.07426382464149181,324,2.7122362725612764e-4,0,-0.0015310647007885092,exp191121,A09,A,09,40000,4,BPH2804,2,VAN-083,1,0,NA,0,FALSE,1,NA,FALSE,-0.75,Relapse (after treatment),171,paired-invasive,NA
exp191121_4_A10,146.83023872681508,792,1.0387342614514847,90,0.12425965047909268,306,0.0029073163348299906,0,-0.0010427995379282615,exp191121,A10,A,10,40000,4,BPH2801,3,VAN-083,59,0,Survived,1,TRUE,NA,NA,FALSE,0,NA,NA,index,NA
exp191121_4_A11,30.061184792224523,1152,0.2612389384609437,210,0.0510702706273749,426,4.063684104659033e-4,0,-0.0018446035748501677,exp191121,A11,A,11,40000,4,BPH2791,3,VAN-075,6,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_A12,169.51105216625334,810,1.1819771624850166,66,0.1752924652461072,294,0.0032527382602956165,1152,-7.995891984606448e-4,exp191121,A12,A,12,40000,4,BPH2802,3,VAN-083,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B02,195.71511936342475,798,1.7006495667906742,138,0.0426504083525936,456,0.0043543490856775,0,-0.0018613975379863298,exp191121,B02,B,02,40000,4,BPH2787,1,VAN-071,239,1,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B03,88.46931918657205,1152,1.3455573734778055,174,0.06200960601636141,1104,0.0021417615643493835,0,-0.0018052293669220468,exp191121,B03,B,03,40000,4,BPH2809,1,VAN-087,-,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B04,202.27515473035737,1152,1.7863966923024808,120,0.1141479311875925,450,0.003417583780040343,0,-0.0017421648735333056,exp191121,B04,B,04,40000,4,BPH2797,1,VAN-081,12,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B05,162.84668435015772,930,1.320190920651894,138,0.13115887162063988,432,0.0030322356801929054,0,-0.001777061338371272,exp191121,B05,B,05,40000,4,BPH2810,3,VAN-088,508,0,Survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp191121_4_B07,143.3950486295535,1152,1.199732053361918,138,0.08143217307250669,396,0.002768853910954816,0,-0.0017452799607894157,exp191121,B07,B,07,40000,4,BPH2799,2,VAN-082,239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
